Sequence,folioURN,Siglum,Description,RV,name
196,urn:cite:fufolio:msChad.98r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-98r
197,urn:cite:fufolio:msChad.98v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-98v
198,urn:cite:fufolio:msChad.99r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-99r
199,urn:cite:fufolio:msChad.99v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-99v
200,urn:cite:fufolio:msChad.100r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-100r
201,urn:cite:fufolio:msChad.100v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-100v
202,urn:cite:fufolio:msChad.101r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-101r
203,urn:cite:fufolio:msChad.101v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-101v
204,urn:cite:fufolio:msChad.102r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-102r
205,urn:cite:fufolio:msChad.102v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-102v
206,urn:cite:fufolio:msChad.103r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-103r
207,urn:cite:fufolio:msChad.103v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-103v
208,urn:cite:fufolio:msChad.104r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-104r
209,urn:cite:fufolio:msChad.104v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-104v
210,urn:cite:fufolio:msChad.105r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-105r
211,urn:cite:fufolio:msChad.105v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-105v
212,urn:cite:fufolio:msChad.106r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-106r
213,urn:cite:fufolio:msChad.106v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-106v
214,urn:cite:fufolio:msChad.107r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-107r
215,urn:cite:fufolio:msChad.107v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-107v
216,urn:cite:fufolio:msChad.108r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-108r
217,urn:cite:fufolio:msChad.108v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-108v
218,urn:cite:fufolio:msChad.109r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-109r
219,urn:cite:fufolio:msChad.109v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-109v
220,urn:cite:fufolio:msChad.110r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-110r
221,urn:cite:fufolio:msChad.110v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-110v
222,urn:cite:fufolio:msChad.111r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-111r
223,urn:cite:fufolio:msChad.111v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-111v
224,urn:cite:fufolio:msChad.112r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-112r
225,urn:cite:fufolio:msChad.112v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-112v
226,urn:cite:fufolio:msChad.113r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-113r
227,urn:cite:fufolio:msChad.113v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-113v
228,urn:cite:fufolio:msChad.114r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-114r
229,urn:cite:fufolio:msChad.114v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-114v
230,urn:cite:fufolio:msChad.115r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-115r
231,urn:cite:fufolio:msChad.115v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-115v
232,urn:cite:fufolio:msChad.116r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-116r
233,urn:cite:fufolio:msChad.116v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-116v
234,urn:cite:fufolio:msChad.117r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-117r
235,urn:cite:fufolio:msChad.117v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-117v
236,urn:cite:fufolio:msChad.118r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-118r
237,urn:cite:fufolio:msChad.118v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-118v
238,urn:cite:fufolio:msChad.fly1r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-fly1r
239,urn:cite:fufolio:msChad.fly1v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-fly1v
240,urn:cite:fufolio:msChad.fly2r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-fly2r
241,urn:cite:fufolio:msChad.fly2v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-fly2v
242,urn:cite:fufolio:msChad.fly3r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-fly3r
243,urn:cite:fufolio:msChad.fly3v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-fly3v
244,urn:cite:fufolio:msChad.fly4r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-fly4r
245,urn:cite:fufolio:msChad.fly4v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-fly4v
246,urn:cite:fufolio:msChad.fly5r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-fly5r
247,urn:cite:fufolio:msChad.fly5v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-fly5v
248,urn:cite:fufolio:msChad.fly6r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-fly6r
249,urn:cite:fufolio:msChad.fly6v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-fly6v
250,urn:cite:fufolio:msChad.BackBoardr,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-BackBoardr
