Sequence,folioURN,Siglum,Description,RV,name
157,urn:cite:fufolio:msChad.78v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-78v
158,urn:cite:fufolio:msChad.79r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-79r
159,urn:cite:fufolio:msChad.79v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-79v
160,urn:cite:fufolio:msChad.80r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-80r
161,urn:cite:fufolio:msChad.80v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-80v
162,urn:cite:fufolio:msChad.81r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-81r
163,urn:cite:fufolio:msChad.81v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-81v
164,urn:cite:fufolio:msChad.82r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-82r
165,urn:cite:fufolio:msChad.82v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-82v
166,urn:cite:fufolio:msChad.83r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-83r
167,urn:cite:fufolio:msChad.83v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-83v
168,urn:cite:fufolio:msChad.84r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-84r
169,urn:cite:fufolio:msChad.84v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-84v
170,urn:cite:fufolio:msChad.85r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-85r
171,urn:cite:fufolio:msChad.85v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-85v
172,urn:cite:fufolio:msChad.86r,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),recto,msChad-86r
173,urn:cite:fufolio:msChad.86v,msChad,The St. Chad Gospels of Lichfield Cathedral (Latin: 8th c. CE),verso,msChad-86v
