URN,imgurn,description,type,name
urn:cite:fums:CharacterInv.1,"urn:cite:ecod:codbod25.cb-0025_001r@0.1342,0.28,0.0261,0.0208","βλ beta+lambda","ligature","charinv1"
urn:cite:fums:CharacterInv.2,"urn:cite:ecod:codbod25.cb-0025_001r@0.2156,0.2719,0.0255,0.0237","εσ epsilon+sigma","ligature","charinv2"
urn:cite:fums:CharacterInv.3,"urn:cite:ecod:codbod25.cb-0025_001r@0.2738,0.2749,0.06,0.0225","ιυ χυ Jesus Christ","abbreviation","charinv3"
urn:cite:fums:CharacterInv.4,"urn:cite:ecod:codbod25.cb-0025_001r@0.385,0.2758,0.0475,0.0244","δαδ David","abbreviation","charinv4"
urn:cite:fums:CharacterInv.5,"urn:cite:ecod:codbod25.cb-0025_001v@0.3533,0.1918,0.0185,0.0177","ν nu","character","charinv5"
urn:cite:fums:CharacterInv.6,"urn:cite:ecod:codbod25.cb-0025_001r@0.4206,0.048,0.0176,0.0132","σπ sp","ligature","charinv6"
