genusURN,genusName,familyURN,tsnID
urn:cite:botcar:genera.Carphephorus,Carphephorus,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Carpinus,Carpinus,urn:cite:botcar:family.Betulaceae,"to be added"
urn:cite:botcar:genera.Carya,Carya,urn:cite:botcar:family.Juglandaceae,"to be added"
urn:cite:botcar:genera.Castanea,Castanea,urn:cite:botcar:family.Fagaceae,"to be added"
urn:cite:botcar:genera.Catalpa,Catalpa,urn:cite:botcar:family.Bignoniaceae,"to be added"
urn:cite:botcar:genera.Ceanothus,Ceanothus,urn:cite:botcar:family.Rhamnaceae,"to be added"
urn:cite:botcar:genera.Cenchrus,Cenchrus,urn:cite:botcar:family.Poaceae,"to be added"
urn:cite:botcar:genera.Cephalanthus,Cephalanthus,urn:cite:botcar:family.Rubiaceae,"to be added"
urn:cite:botcar:genera.Ceratiola,Ceratiola,urn:cite:botcar:family.Ericaceae,"to be added"
urn:cite:botcar:genera.Cercis,Cercis,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Chamaecrista,Chamaecrista,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Chamaesyce,Chamaesyce,urn:cite:botcar:family.Euphorbiaceae,"to be added"
urn:cite:botcar:genera.Chaptalia,Chaptalia,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Chasmanthium,Chasmanthium,urn:cite:botcar:family.Poaceae,"to be added"
urn:cite:botcar:genera.Chrysogonum,Chrysogonum,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Chrysopsis,Chrysopsis,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Cicuta,Cicuta,urn:cite:botcar:family.Apiaceae,"to be added"
urn:cite:botcar:genera.Clematis,Clematis,urn:cite:botcar:family.Ranunculaceae,"to be added"
urn:cite:botcar:genera.Clethra,Clethra,urn:cite:botcar:family.Clethraceae,"to be added"
urn:cite:botcar:genera.Cnidoscolus,Cnidoscolus,urn:cite:botcar:family.Euphorbiaceae,"to be added"
urn:cite:botcar:genera.Cocculus,Cocculus,urn:cite:botcar:family.Menispermaceae,"to be added"
urn:cite:botcar:genera.Coelorachis,Coelorachis,urn:cite:botcar:family.Poaceae,"to be added"
urn:cite:botcar:genera.Collinsonia,Collinsonia,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Commelina,Commelina,urn:cite:botcar:family.Commelinaceae,"to be added"
urn:cite:botcar:genera.Coreopsis,Coreopsis,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Cornus,Cornus,urn:cite:botcar:family.Cornaceae,"to be added"
urn:cite:botcar:genera.Ctenium,Ctenium,urn:cite:botcar:family.Poaceae,"to be added"
urn:cite:botcar:genera.Cyperus,Cyperus,urn:cite:botcar:family.Cyperaceae,"to be added"
urn:cite:botcar:genera.Cyrilla,Cyrilla,urn:cite:botcar:family.Cyrillaceae,"to be added"
urn:cite:botcar:genera.Dalea,Dalea,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Delphinium,Delphinium,urn:cite:botcar:family.Ranunculaceae,"to be added"
urn:cite:botcar:genera.Dioscorea,Dioscorea,urn:cite:botcar:family.Dioscoreaceae,"to be added"
urn:cite:botcar:genera.Diospyros,Diospyros,urn:cite:botcar:family.Ebenaceae,"to be added"
urn:cite:botcar:genera.Dyschoriste,Dyschoriste,urn:cite:botcar:family.Acanthaceae,"to be added"
urn:cite:botcar:genera.Echinochloa,Echinochloa,urn:cite:botcar:family.Poaceae,"to be added"
urn:cite:botcar:genera.Eleocharis,Eleocharis,urn:cite:botcar:family.Cyperaceae,"to be added"
urn:cite:botcar:genera.Eleusine,Eleusine,urn:cite:botcar:family.Poaceae,"to be added"
urn:cite:botcar:genera.Endodeca,Endodeca,urn:cite:botcar:family.Aristolochiaceae,"to be added"
urn:cite:botcar:genera.Epifagus,Epifagus,urn:cite:botcar:family.Orobanchaceae,"to be added"
urn:cite:botcar:genera.Erigeron,Erigeron,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Eriocaulon,Eriocaulon,urn:cite:botcar:family.Eriocaulaceae,"to be added"
urn:cite:botcar:genera.Eriogonum,Eriogonum,urn:cite:botcar:family.Polygonaceae,"to be added"
urn:cite:botcar:genera.Eryngium,Eryngium,urn:cite:botcar:family.Apiaceae,"to be added"
urn:cite:botcar:genera.Eupatorium,Eupatorium,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Eupatorium,Eupatorium,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Euthamia,Euthamia,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Eutrochium,Eutrochium,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Fraxinus,Fraxinus,urn:cite:botcar:family.Oleaceae,"to be added"
urn:cite:botcar:genera.Fuirena,Fuirena,urn:cite:botcar:family.Cyperaceae,"to be added"
urn:cite:botcar:genera.Gaillardia,Gaillardia,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Galactia,Galactia,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Galactia,Galactia,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Gamochaeta,Gamochaeta,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Gentiana,Gentiana,urn:cite:botcar:family.Gentianaceae,"to be added"
urn:cite:botcar:genera.Geum,Geum,urn:cite:botcar:family.Rosaceae,"to be added"
urn:cite:botcar:genera.Glandularia,Glandularia,urn:cite:botcar:family.Verbenaceae,"to be added"
urn:cite:botcar:genera.Gleditsia,Gleditsia,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Gordonia,Gordonia,urn:cite:botcar:family.Theaceae,"to be added"
urn:cite:botcar:genera.Habenaria,Habenaria,urn:cite:botcar:family.Orchidaceae,"to be added"
urn:cite:botcar:genera.Hamamelis,Hamamelis,urn:cite:botcar:family.Hamamelidaceae,"to be added"
urn:cite:botcar:genera.Helenium,Helenium,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Helianthus,Helianthus,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Heliopsis,Heliopsis,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Hibiscus,Hibiscus,urn:cite:botcar:family.Malvaceae,"to be added"
urn:cite:botcar:genera.Hydrangea,Hydrangea,urn:cite:botcar:family.Hydrangeaceae,"to be added"
urn:cite:botcar:genera.Hylodesmum,Hylodesmum,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Hypericum,Hypericum,urn:cite:botcar:family.Hypericaceae,"to be added"
urn:cite:botcar:genera.Hyptis,Hyptis,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Ilex,Ilex,urn:cite:botcar:family.Aquifoliaceae,"to be added"
urn:cite:botcar:genera.Impatiens,Impatiens,urn:cite:botcar:family.Balsaminaceae,"to be added"
